"","exchange","stock.symb","company","current.price","stock.vel1","stock.vel2","stock.vel3","reachighest","monthly.interest.n180","delta.range","pred.lwr","pred.median","pred.upr","is.interested"
"1","AMEX","AAMC","Altisource Asset Management Corp Com","24.860001","-0.397274513095454","0.0851657057401213","-0.00780659692156381","11.717%","8.47357810901794","2.13063164344328","18.05","25.5053891471225","29.86","FALSE"
"2","AMEX","AAU","Almaden Minerals Ltd. Common Shares","0.3795","-0.00209086517407032","-0.00055915023990691","-0.000121828665817355","0%","-7.15677258176316","0.0143972123323088","0.313","0.357446746346035","0.39",NA
"3","AMEX","ACU","Acme United Corporation. Common Stock","38.294701","0.00875111140320802","0.00658019844390433","0.0376032482662521","93.986%","-4.42858039524957","1.42469207653562","31.702","35.3000485925234","37.768","FALSE"
"4","AMEX","ACY","AeroCentury Corp. Common Stock","49.400002","-0.0178325187716744","0.00909750818496272","0.01857772037629","98.946%","NaN","6.52489105719269","37.563","53.9850153336984","60.537","TRUE"
"5","AMEX","ADRA","Adara Acquisition Corp. Class A Common Stock","9.83","0.000379393142246784","0.000126893240423493","0.00302272745403278","16.143%","0.185767674727777","0.0208594969684235","9.736","9.80283039051211","9.854","FALSE"
"6","AMEX","ADRA","Adara Acquisition Corp. Class A Common Stock","9.83","0.000379393142246784","0.000126893240423493","0.00302272745403278","99.552%","0.185767674727777","0.0208594969684235","9.736","9.80283039051211","9.854","FALSE"
"7","AMEX","AE","Adams Resources & Energy Inc. Common Stock","31.5394","-0.00774348214393762","0.0137432488744299","-0.011885793584578","13.236%","3.0486603193272","0.814370758261305","29.099","31.563004811793","32.923","FALSE"
"8","AMEX","AEF","Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock","8.49","-0.0058604317484847","0.00401831231332155","0.003560477504856","96.125%","-0.571782246452013","0.112364362275713","8.052","8.44930858946263","8.75","FALSE"
"9","AMEX","AGE","AgeX Therapeutics Inc. Common Stock","0.8036","-0.0119139704350387","-0.000830147697638456","-0.00443181946687162","0.374%","-8.805353885658","0.0403676831781468","0.594","0.901880774741159","1.136","FALSE"
"10","AMEX","AIM","AIM ImmunoTech Inc. Common Stock","1.8","-0.0496053168208268","-0.0895990254973061","-0.00717468424617776","11.965%","-2.02580038511595","0.0531515302148513","1.775","1.93031310823418","2.022","FALSE"
